Select 	CRN 	Subj 	Crse 	Sec 	Cmp 	Cred 	Part of Term 	Title 	Days 	Time 	Cap 	Act 	Rem 	Instructor 	Date (MM/DD) 	Location 	Attribute
  	  	  	  	  	  	  	  	  	W 	02:20 pm-03:10 pm 	  	  	  	TBA 	08/21-12/05 	SMWALT 244 	ARP Analytical Reasoning
SR 	83001 	CSCE 	101 	017 	COL 	3.000 	30 - Columbia Full Term 	Introduction to Computer Concepts 	TR 	02:50 pm-03:40 pm 	24 	5 	19 	TBA 	08/21-12/05 	SMWALT 305 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	W 	03:30 pm-04:20 pm 	  	  	  	TBA 	08/21-12/05 	SMWALT 244 	ARP Analytical Reasoning
SR 	94226 	CSCE 	101 	Z01 	COL 	3.000 	3A4 - Columbia 	Introduction to Computer Concepts 	  	TBA 	15 	14 	1 	James Orren McKay (P) 	08/25-12/09 	3WEB 1 	ARP Analytical Reasoning and Ft. Jackson Location
SR 	94291 	CSCE 	101 	Z1A 	COL 	3.000 	3A5 - Columbia 	Introduction to Computer Concepts 	MW 	05:20 pm-07:50 pm 	15 	0 	15 	James Orren McKay (P) 	08/25-10/14 	FJAC 1 	ARP Analytical Reasoning and Ft. Jackson Location
SR 	83267 	CSCE 	102 	001 	COL 	3.000 	30 - Columbia Full Term 	General Applications Programming 	MW 	09:40 am-10:30 am 	24 	4 	20 	TBA 	08/21-12/05 	SMWALT 305 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	F 	08:30 am-09:20 am 	  	  	  	TBA 	08/21-12/05 	SMWALT 361 	ARP Analytical Reasoning
C 	83268 	CSCE 	102 	002 	COL 	3.000 	30 - Columbia Full Term 	General Applications Programming 	MW 	09:40 am-10:30 am 	24 	24 	0 	TBA 	08/21-12/05 	SMWALT 305 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	F 	09:40 am-10:30 am 	  	  	  	TBA 	08/21-12/05 	SMWALT 361 	ARP Analytical Reasoning
C 	83269 	CSCE 	102 	003 	COL 	3.000 	30 - Columbia Full Term 	General Applications Programming 	MW 	09:40 am-10:30 am 	24 	24 	0 	TBA 	08/21-12/05 	SMWALT 305 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	R 	10:05 am-10:50 am 	  	  	  	TBA 	08/21-12/05 	SMWALT 361 	ARP Analytical Reasoning
SR 	83270 	CSCE 	102 	004 	COL 	3.000 	30 - Columbia Full Term 	General Applications Programming 	MW 	12:00 pm-12:50 pm 	24 	21 	3 	TBA 	08/21-12/05 	SMWALT 305 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	F 	10:50 am-11:40 am 	  	  	  	TBA 	08/21-12/05 	SMWALT 361 	ARP Analytical Reasoning
C 	83271 	CSCE 	102 	005 	COL 	3.000 	30 - Columbia Full Term 	General Applications Programming 	MW 	12:00 pm-12:50 pm 	24 	24 	0 	TBA 	08/21-12/05 	SMWALT 305 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	F 	12:00 pm-12:50 pm 	  	  	  	TBA 	08/21-12/05 	SMWALT 361 	ARP Analytical Reasoning
C 	83273 	CSCE 	102 	006 	COL 	3.000 	30 - Columbia Full Term 	General Applications Programming 	MW 	12:00 pm-12:50 pm 	24 	24 	0 	TBA 	08/21-12/05 	SMWALT 305 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	R 	11:40 am-12:30 pm 	  	  	  	TBA 	08/21-12/05 	SMWALT 361 	ARP Analytical Reasoning
SR 	83276 	CSCE 	102 	007 	COL 	3.000 	30 - Columbia Full Term 	General Applications Programming 	MW 	02:20 pm-03:10 pm 	24 	13 	11 	TBA 	08/21-12/05 	SMWALT 305 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	F 	01:10 pm-02:00 pm 	  	  	  	TBA 	08/21-12/05 	SMWALT 361 	ARP Analytical Reasoning
SR 	83279 	CSCE 	102 	008 	COL 	3.000 	30 - Columbia Full Term 	General Applications Programming 	MW 	02:20 pm-03:10 pm 	24 	11 	13 	TBA 	08/21-12/05 	SMWALT 305 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	F 	02:20 pm-03:10 pm 	  	  	  	TBA 	08/21-12/05 	SMWALT 361 	ARP Analytical Reasoning
SR 	83283 	CSCE 	102 	009 	COL 	3.000 	30 - Columbia Full Term 	General Applications Programming 	MW 	02:20 pm-03:10 pm 	24 	14 	10 	TBA 	08/21-12/05 	SMWALT 305 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	R 	02:50 pm-03:40 pm 	  	  	  	TBA 	08/21-12/05 	SMWALT 361 	ARP Analytical Reasoning
